Word,Clue,Example
sycophant,a person who tries to please someone to gain an advantage,The people around the king are sycophants who are looking after their own personal advantage.
crabbed,annoyed and irritable,"He grew crabbed and soured, his temper flashing out on small provocation."
archetype,something that serves as a model,"Newport, R.I., looks like a perfect archetype of a small, seaside New England town."
cryptic,of an obscure nature,"The authorities, beyond some cryptic language about the death being sudden but not suspicious, have released no details."
penchant,a strong liking,"But sometimes, old Wall Street habits — including a penchant for expensive luxuries — are hard to break."
bauble,cheap showy jewelry or ornament on clothing,But men were buying Valentine's baubles for their honeys long before the first Zales ever opened its doors in a suburban shopping mall.
mountebank,a flamboyant deceiver,"They are singularly clever, these Indian mountebanks, especially in sleight of hand tricks."
hummock,a small natural hill,"Captain Bill leaned back on a hummock of earth, his arms folded behind his head."
apotheosis,model of excellence or perfection of a kind,"Contrary to popular belief, however, she said Ms. Deen’s fat-laden cooking does not in fact represent the apotheosis of Southern cuisine."
discretionary,not earmarked; available for use as needed,Steeper prices for basic necessities have forced many to cut back on more discretionary purchases.
pithy,concise and full of meaning,"As Moore isolated finer points of the passing game, Keller in neat penmanship jotted down pithy phrases and punchy quotes, basic ideas and specific concepts."
comport,behave in a certain manner,"Ironically, the one man on stage who did comport himself with dignity, John Huntsman, is now being dismissed as having not made an impact."
checkered,marked by changeable fortune,Both restaurants have checkered histories with the health department; they were temporarily shut down for sanitary violations that included evidence of rodents.
ambrosia,the food and drink of the gods,"""Frieda represents the lovely goddess, Hebe, who served nectar and ambrosia to the high gods on Mount Olympus,"" she explained."
factious,dissenting with the majority opinion,"Will it be answered that we are factious, discontented spirits, striving to disturb the public order, and tear up the old fastnesses of society?"
disgorge,cause or allow to flow or run out or over,"There are telephone poles and cinder blocks and living room chairs and large trash bins, overturned and disgorging their soggy contents."
filch,make off with belongings of others,"Then, in place of the real site, it displays a fake site created  to filch account numbers, login names and passwords."
wraith,a mental representation of some haunting experience,"Whichever way he turns there loom past wraiths, restless as ghosts of unburied Grecian slain."
demonstrable,capable of being proved,"The linkage between deposits and trade is definite, causal, positive, statistically demonstrable."
pertinacious,stubbornly unyielding,"His temper, though yielding and easy in appearance, was in reality most obstinate and pertinacious."
emend,make corrections to,The following were identified as spelling or typographic errors and have been emended as noted.
laggard,someone who takes more time than necessary,Corporate data centers are the slowpoke laggards of information technology.
waffle,pause or hold back in uncertainty or unwillingness,A few days of waffling back and forth and I ended up going out to a mediocre bistro with my parents.
loquacious,full of trivial conversation,"Pan soon found it needful to make conversation, in order to keep the loquacious old stage driver from talking too much."
venial,easily excused or forgiven,"The confidence of ignorance, however venial in youth, is not altogether so excusable, in full grown men."
peon,a laborer who is obliged to do menial work,"For the most part, the men were wiry peons, some toiling half naked, but there were a number who looked like prosperous citizens."
effulgence,the quality of being bright and sending out rays of light,"Then, all at once, in a way that seemed to frighten her, the sunshine had burst the clouds, and dazzled her with its effulgence."
lode,a deposit of valuable ore,Such local perturbations are regularly used in Sweden for tracing out the position of underground lodes of iron ore.
fanfare,a gaudy outward display,"It opened a month ago to considerable fanfare, with television cameras trailing government officials meandering proudly around the bright new stores filled with imported goods."
dilettante,showing frivolous or superficial interest; amateurish,They dabbled in politics and art in the same dilettante fashion.
pusillanimous,lacking in courage and manly strength and resolution,"He was described by his friends as pusillanimous to an incredible extent, timid from excess of riches, afraid of his own shadow."
ingrained,deeply rooted; firmly fixed or held,The narrow prejudices of his country were ingrained too deeply in his character to be disturbed by any change of surroundings.
quagmire,a soft wet area of low-lying land that sinks underfoot,"The heavy rain had reduced this low-lying ground to a veritable quagmire, making progress very difficult even for one as unburdened as he was."
reprobation,severe disapproval,"Mr. Conway denounced this scheme as ""utterly and flagrantly unconstitutional, as radically revolutionary in character and deserving the reprobation of every loyal citizen."""
mannered,having unnatural behavioral attributes,Nothing was mannered or pretentious; the texts came through with utter naturalness.
squeamish,excessively fastidious and easily disgusted,"But please note that this gunfire-fueled film is for mature audiences; given its content, young and/or squeamish viewers should avoid this one."
proclivity,a natural inclination,"She received, under her father's supervision, a very careful education, and developed her proclivities for literary composition at an early age."
miserly,characterized by or indicative of lack of generosity,"Now, my uncle seemed so miserly that I was struck dumb by this sudden generosity, and could find no words in which to thank him."
vapid,lacking significance or liveliness or spirit or zest,"How vapid was the talk of my remaining fellow-passengers; how slow of understanding, and how preoccupied with petty things they seemed!"
mercurial,liable to sudden unpredictable change,"Wind energy is notoriously mercurial, with patterns shifting drastically over the course of years, days, even minutes."
perspicuous,transparently clear; easily understandable,"The statements are plain and simple, a perfect model of perspicuous narrative."
nonplus,be a mystery or bewildering to,"I shook my head and rushed from his presence, completely nonplussed, bewildered, frantic."
enamor,attract,Young Indian audiences are so enamored with reality television that they will not watch the soap operas and dramas that their parents or grandparents watch.
hackneyed,repeated too often; overfamiliar through overuse,Many speakers become so addicted to certain hackneyed phrases that those used to hearing them speak can see them coming sentences away.
spate,a large number or amount or extent,French authorities are already reporting a rising spate of calls to emergency services by homeowners whose once-frozen water mains have now burst.
pedagogue,someone who educates young people,"His old pedagogue, Mr. Brownell, had been unable to teach him mathematics."
acme,the highest level or degree attainable,"Scientifically speaking, it is the acme of absurdity to talk of a man defying the law of gravitation when he lifts his arm."
masticate,bite and grind with the teeth,"Food should be masticated quietly, and with the lips closed."
sinecure,an office that involves minimal duties,"He would have repudiated the notion that he was looking for a sinecure, but no doubt considered that the duties would be easy and light."
indite,produce a literary work,She indited religious poems which were the admiration of the age.
emetic,a medicine that induces nausea and vomiting,"The juice of this herb, taken in ale, is esteemed a gentle and very good emetic, bringing on vomiting without any great irritation or pain."
temporize,draw out a discussion or process in order to gain time,"So he temporized and beat about the bush, and did not touch first on that which was nearest his heart."
unimpeachable,beyond doubt or reproach,"Whether we agree with the conclusions of these writers or not, the method of critical investigation which they adopt is unimpeachable."
genesis,a coming into being,"He found himself speculating on the genesis of the moral sense, how it developed in difficulties rather than in ease."
mordant,harshly ironic or sinister,"Even Morgan himself, intrepid as he was, shrank from the awful menace of the mordant words."
smattering,a small number or amount,Only a smattering of fans remained for all four ghastly quarters.
suavity,the quality of being bland and gracious in manner,"His combativeness was harnessed to his suavity, and he could be forcible and at the same time persuasive."
stentorian,with a booming voice,"If a hundred voices shouted in opposition, his stentorian tones still made themselves heard above the uproar."
junket,a trip taken by an official at public expense,"Mr. Abramoff arranged for junkets, including foreign golfing destinations, for the members of Congress he was trying to influence."
appurtenance,a supplementary component that improves capability,"In the center of this space stood a large frame building whose courtyard, stables, and other appurtenances proclaimed it an inn."
nostrum,patent medicine whose efficacy is questionable,"Just here a native ""medicine man"" dispenses nostrums of doubtful efficacy, and in front a quantity of red Moorish pottery is exposed for sale."
immure,"lock up or confine, in or as in a jail","Political prisoners, numbering as many as three or four hundred at a time, have been immured within its massive walls."
astringent,sour or bitter in taste,"There was something sharply astringent about her then, like biting inadvertently into a green banana."
unfaltering,marked by firm determination or resolution; not shakable,"Still unfaltering, the procession commenced to trudge back, the littlest boy and girl bearing themselves bravely, with lips tight pressed."
tutelage,attention and management implying responsibility for safety,"It will do so under German leadership that grows less hesitant with each crisis, and without the American tutelage it enjoyed for so many decades."
testator,a person who makes a will,"This will was drawn up by me some years since at the request of the testator, who was in good health, mentally and bodily."
elysian,of such excellence as to suggest inspiration by the gods,"Life seemed an elysian dream, from which care and sorrow must be for ever banished."
fulminate,criticize severely,"But with people looking for almost any excuse to fulminate against airlines these days, there's a certain risk of embellishment."
fractious,easily irritated or annoyed,"He was a fractious invalid, and spared his wife neither time nor trouble in attending to his wants."
pummel,"strike, usually with the fist","Another, with rubber bands wrapped tightly around his face, is pummelled by a plastic boxing kangaroo."
manumit,free from slavery or servitude,"Moreover, manumitted slaves enjoyed the same rights, privileges and immunities that were enjoyed by those born free."
unexceptionable,completely acceptable; not open to reproach,"All cowboys are from necessity good cooks, and the fluffy, golden brown biscuits and fragrant coffee of Red's making were unexceptionable."
triumvirate,a group of three people responsible for civil authority,"This triumvirate approach has real benefits in terms of shared wisdom, and we will continue to discuss the big decisions among the three of us."
sybarite,a person addicted to luxury and pleasures of the senses,"He was not used to travelling on omnibuses, being something of a sybarite who spared nothing to ensure his own comfort."
jibe,"be compatible, similar or consistent",Contemporary art has never quite jibed with mainstream media.
roseate,of something having a dusty purplish pink color,"Behind the trees rough, lichened rock and stony slopes ran up to a bare ridge, silhouetted against the roseate glow of the morning sky."
obloquy,a false accusation of an offense,"This is the real history of a transaction which, by frequent misrepresentation, has brought undeserved obloquy upon a generous man."
hoodwink,influence by slyness,The stories of the saints he regarded as preposterous fables invented to hoodwink a gullible and illiterate populace.
striate,mark with stripes of contrasting color,"The body is striated with clearly defined, often depressed lines, which run longitudinally and sometimes spirally."
arrogate,seize and take control without authority,Japanese manufacturers were accused of arrogating American technologies to churn out low-cost electronics.
rarefied,of high moral or intellectual value,The debate over climate science has involved very complex physical models and rarefied areas of scientific knowledge.
chary,characterized by great caution,There was no independent verification of the figure; the authorities have been chary of releasing death tolls for fear of inflaming further violence.
credo,any system of principles or beliefs,"She preferred to hang out with everyone but was best friends with no one, holding to the credo: “You should be nice to people.”"
superannuated,too old to be useful,"Civil servants are superannuated at fifty-five years of age and are sent home on a pension, seldom enjoying life longer than two years afterward."
impolitic,not marked by artful prudence,"Bill Maher has always been a vocal critic of Islam, even at times making impolitic statements about the religion."
aspersion,a disparaging remark,"Lord Sanquhar then proceeded to deny the aspersion that he was an ill-natured fellow, ever revengeful, and delighting in blood."
abysmal,resembling an abyss in depth; so deep as to be immeasurable,"After all, many Americans regard this Congress as dysfunctional, with abysmal approval ratings."
poignancy,"a quality that arouses emotions, especially pity or sorrow",They were curious about the “near loss” experience—specifically the feelings of poignancy that occur when what we cherish disappears.
stilted,artificially formal,"But thanks to the stilted writing and stiff acting, the characters still feel very much like one-dimensional figures from a dutiful fable."
effete,"excessively self-indulgent, affected, or decadent",John Bull was an effete old plutocrat whose sons and daughters were given up to sport and amusement.
provender,food for domestic livestock,"""Fools!"" she cried, looking in her magic crystal, ""he was in the big sycamore under which you stopped to give your horses provender!"""
endemic,of a disease constantly present in a particular locality,Mean-spirited chants and songs are also endemic in British soccer.
jocund,full of or showing high-spirited merriment,"Her jocund laugh and merry voice, indeed, first attracted my attention."
procedural,of or relating to processes,"In other words, the rejection was a bureaucratic/ procedural decision."
rakish,marked by a carefree unconventionality or disreputableness,"She wore her red cap in a rakish manner on the side of her head, its tassel falling down over her forehead between her eyes."
skittish,"unpredictably excitable, especially of horses",That combined with his calm and reassuring tone made me think of an animal trainer trying to woo skittish wild animals.
peroration,a flowery and highly rhetorical address,"He had little hope that Gallagher, once embarked on a peroration, would stop until he had used up all the words at his command."
nonentity,a person of no influence,Was he such a nonentity in every way that she could remain unconcerned as to any fear of danger from him?
abstemious,marked by temperance in indulgence,"Raw, boozy, untethered performances are heralded as real; the abstemious professional is yawned off the stage."
viscid,having the sticky properties of an adhesive,Roads were quagmires where travellers slipped and laboured through viscid mud and over icy fords.
doggerel,a comic verse of irregular measure,"He sang, with accompanying action, some dozen verses of doggerel, remarkable for obscenity and imbecility."
sleight,adroitness in using the hands,"The trick was performed Tuesday by Russell Fitzgerald, an amateur magician known to open meetings with a little sleight of hand."
rubric,category name,"Ms. Moss took issue, not surprisingly, with the notion that grouping the performances under the rubric of spirituality was a marketing ploy."
plenitude,a full supply,"Of course at that season, amid the plenitude of seeds, nuts, and berries, they were as plump as partridges."
rebus,a puzzle consisting of pictures representing words,"They wrote at times with pictures standing for sounds, as we now write in rebus puzzles."
wizened,lean and wrinkled by shrinkage as from age or illness,"Kim Jong Il may be increasingly wizened and frail, with fingernails white from kidney disease, but his propaganda apparatus is as vigorous as ever."
whorl,a round shape formed by a series of concentric circles,"The flowers are waxy, tubular, fragrant, turning their yellow petals backward in a whorl."
fracas,noisy quarrel,"Other cops were battling each other, going after the kids and clutching empty air, cursing and screaming unheard orders in the fracas."
iconoclast,someone who attacks cherished ideas or institutions,"Jobs is a classic iconoclast, one who aggressively seeks out, attacks, and overthrows conventional ideas."
saturnine,bitter or scornful,"Only when Bill Lightfoot spoke did he look up, and then with a set sneer, growing daily more saturnine."
madrigal,an unaccompanied partsong for 2 or 3 voices,"Nevertheless we learn from Malvezzi's publication that the pieces were all written in the madrigal style, frequently in numerous voice parts."
zealot,a fervent and even militant proponent of something,"""The public is going to just think of us as these zealots who want to ban smoking everywhere,"" he said."
moribund,not growing or changing; without force or vitality,"The entertainment sector there is booming, while Pakistan's is moribund."
modicum,a small or moderate or token amount,"He volunteered a modicum of advice, limited in quantity, but valuable."
connotation,an idea that is implied or suggested,"In Arabic, the word “bayt” translates literally as house, but its connotations resonate beyond rooms and walls, summoning longings gathered about family and home."
adventitious,associated by chance and not an integral part,The derivation of the word thus appears to be merely accidental and adventitious.
recondite,difficult to penetrate,The mystery of verse is like other abstruse and recondite mysteries—it strikes the ordinary fleshly man as absurd.
zephyr,a slight wind,The dwellings and public buildings throughout Cuba are planned to give free passage to every zephyr that wafts relief from the oppressive heat.
countermand,cancel officially,"In the midst of executing this order, he got another order countermanding it, and proceeding directly from his direct superior."
captious,tending to find and call attention to faults,"Miss Burton had been very irritable and captious in class, more so even than usual, and most of her anger was vented upon Gerry."
cognate,having the same ancestral language,"The synonyms are also given in the cognate dialects of Welsh, Armoric, Irish, Gaelic, and Manx, showing at one view the connection between them."
forebear,a person from whom you are descended,"His forebears were Greek immigrants who opened a small sandwich shop in Brooklyn, then moved, one after another, to Providence, to sell distinct, delectable wieners."
cadaverous,very thin especially from disease or hunger or cold,"He looked gaunt and cadaverous, and much of his old reckless joyousness had left him, though he brightened up wonderfully on seeing an old friend."
foist,to force onto another,Mr. Knoll added that the 3-D “Star Wars” movies are not “going to be foisted on anybody against their will.”
dotage,mental infirmity as a consequence of old age,"He is, as you say, a senile old man in his dotage."
nexus,a connected series or group,Numerous innovators are also worrying away at this nexus of problems.
choleric,characterized by anger,"Jonathan, choleric with indignation, stood by his desk, clenching his hands."
garble,make false by mutilation or addition,"But the fact remains that the contradictory and inconsistent things said do reach the public, and usually in garbled and distorted form."
bucolic,idyllically rustic,"Forty-four years ago, Bill Sievers moved into his neo-Colonial house in Douglaston, Queens, on bucolic Poplar Street, lined with stately trees and equally stately homes."
denouement,the outcome of a complex sequence of events,"Suppose the truly apocalyptic denouement happens -- no deal is reached, and taxes rise for everyone."
animus,a feeling of ill will arousing active hostility,"The youthful savages had each an armful of snowballs, and they were pelting the child with more animus than seemed befitting."
overweening,"unrestrained, especially with regard to feelings","He had overweening ambitions even then, along with a highly developed sense of his own importance."
tyro,someone new to a field or activity,"As yet he was merely a tyro, gaining practical experience under a veteran Zeppelin commander."
preen,dress or groom with elaborate care,"He preened on fight nights in a tuxedo, a bow tie and no shirt, and he favored showy rings and bracelets."
largesse,liberality in bestowing gifts,"After being saved by government largesse, they say, big banks then moved to thwart reforms aimed at preventing future meltdowns caused by excessive risk-taking."
retentive,good at remembering,"The child was very sharp, and her memory was extremely retentive."
unconscionable,greatly exceeding bounds of reason or moderation,"For generations in the New York City public schools, this has become the norm with devastating consequences rooted in unconscionable levels of student failure."
badinage,frivolous banter,"It was preposterous to talk to her of serious things, and nothing but an airy badinage seemed possible in her company."
insensate,devoid of feeling and consciousness and animation,"Men also are those brutal soldiers, alike stupidly ready, at the word of command, to drive the nail through quivering flesh or insensate wood."
sherbet,a frozen dessert made primarily of fruit juice and sugar,"""One person said it looks like a big lime sherbet ice cream cone!"""
beatific,marked by utter benignity,"She dozed at last, her face serene and beatific."
bemuse,cause to be confused emotionally,"They were marching in the middle of the street, chanting and singing and disrupting traffic while countless New Yorkers looked on, some bemused, others applauding."
microcosm,a miniature model of something,"The building, he said, is ""a microcosm of what Shanghai was all about."""
factitious,not produced by natural forces,"Indeed, the Chinese make a factitious cheese out of peas, which it is difficult to discriminate from the article of animal origin."
gestate,have the idea for,"Mr. Lucas’s most recent project, still gestating, is a collaboration with Cuban musicians."
traduce,speak unfavorably about,For Grover Cleveland there were no longer enemies to traduce and vilify.
sextant,an instrument for measuring angular distance,"For example, a sextant could be used to sight the sun at high noon in order to determine one’s latitude."
coiffure,the arrangement of the hair,"They sat down, and Saint-Clair noticed his friend's coiffure; a single rose was in her hair."
rococo,having excessive asymmetrical ornamentation,The upper part of the case is decorated with elaborately carved and gilt rococo motifs.
fructify,become productive or fruitful,"Thence they grow, expand, fructify, and the result is Progress."
ellipsis,omission or suppression of parts of words or sentences,"He speaks in ellipses, often leaving sentences hanging, and fiddles apologetically with his BlackBerry."
accolade,a tangible symbol signifying approval or distinction,"The Nobel Prize, considered one of the highest accolades in literature, is given only to living writers."
codicil,a supplement to a will,"The codicil to her will, which she had spoken of with so much composure, left three hundred pounds to Stella and me."
roil,be agitated,"Like thousands of fellow students, he was roiled with emotions, struggling to come to grips with an inescapable reality."
grandiloquent,lofty in style,"A large part of his duties will be to strut about on the stage, and mouth more or less unintelligible sentences in a grandiloquent tone."
inconsequential,lacking worth or importance,"But as the months went by, Mr. Kimura had an unexpected epiphany: His business, which he thought was inconsequential, mattered to a lot of people."
effervescence,the property of giving off bubbles,"Both were in the very sparkle and effervescence of that fanciful glee which bubbles up from the golden, untried fountains of early childhood."
stultify,deprive of strength or efficiency; make useless or worthless,"Far from being engines of economic growth, Egypt's leading cities are stultified."
tureen,large deep serving dish with a cover,Soups are presented in big tureens and can be quite good.
pellucid,transparently clear; easily understandable,"Caribou Island is a scant 300 pages, and written in prose as pellucid as the rivers he used to fish as a boy."
euphony,any pleasing and harmonious sounds,It depends somewhat on usage and on euphony or agreeableness of sound.
apocryphal,being of questionable authenticity,"We're reminded of the story, possibly apocryphal, that they used to play the Beach Boys' Smiley Smile in psychiatric wards to calm patients."
veracious,precisely accurate,"For proof, we cite the following veracious narrative, which bears within it every internal mark of truth, and matter for grave and serious reflection."
pendulous,having branches or flower heads that bend downward,"And all around, far out of reach, the trees of the forest were swaying restlessly, their long, pendulous branches, like tentacles, lashing out hungrily."
exegesis,an explanation or critical interpretation,Its musical significance has been presented with illuminating exegesis by more than one commentator.
effluvium,a foul-smelling outflow or vapor,"However, acting on my best judgment, I struck a downward course, and then suddenly a horrible effluvium was wafted to my nostrils."
apposite,being of striking appropriateness and pertinence,"He was quite capable of meaningful, apposite phrases about the game, even though distant sports editors did not encourage them enough."
viscous,having the sticky properties of an adhesive,"Sluggish, blind crawling things like three-foot slugs flowed across their path and among the tree trunks, leaving viscous trails of slime behind them."
misanthrope,someone who dislikes people in general,"And shaking his head like a misanthrope, disgusted, if not with life, at least with men, Patout led the horse to the stable."
vintner,someone who makes wine,"The question remains, he said, whether established vintners will change their winemaking practices or “continue to sell their schlock.”"
halcyon,idyllically calm and peaceful; suggesting happy tranquility,"He now seemed to have entered on a halcyon period of life—congenial society, romantic and interesting surroundings."
anthropomorphic,suggesting human features for animals or inanimate things,The same anthropomorphic fallacy that accords human attributes to giant corporations like BP distorts clear thinking about how to limit their political influence.
turgid,ostentatiously lofty in style,"His waspish wit can make him entertaining company at a party, but there is little evidence of that in his largely turgid prose."
malaise,"physical discomfort, as mild sickness or depression","Initially, many doctors discounted sufferers’ feelings of generalized malaise as nothing more than stress or normal fatigue."
polemical,of or involving dispute or controversy,"His works include several dogmatic and polemical treatises, but the most important are the historical."
gadfly,a persistently annoying person,Mr. Phelps is regarded here as the ultimate example of an irritating local gadfly.
atavism,a reappearance of an earlier characteristic,Criminal atavism might be defined as the sporadic reversion to savagery in certain individuals.
contusion,an injury in which the skin is not broken,"My falling companion, being a much stouter man than myself did not fare so well, as his right shoulder received a severe contusion."
parsimonious,excessively unwilling to spend,Pill-splitting is catching on among parsimonious prescription-takers who want to lower costs.
dulcet,pleasing to the ear,Ever and anon the dulcet murmur of gurgling streams broke gently on the ear.
reprise,repeat an earlier theme of a composition,The live set reprises material from this remarkable group's earlier Aurora CD.
anodyne,capable of relieving pain,"But philosophy failed, as it will probably fail till some far-off age, to find an anodyne for the spiritual distresses of the mass of men."
bemused,perplexed by many conflicting situations or statements,"They were marching in the middle of the street, chanting and singing and disrupting traffic while countless New Yorkers looked on, some bemused, others applauding."
